id,username,password,firstname,lastname,email,major
436,HettieRaffo,"(8=dYpAJ%&IOm^xNQYJKhdk8qM4XPx* ",Hettie,Raffo,HettieRaffo@ucmerced.edu,english
437,ChereShama,(0TI_jy*$Kt8wMnc-H7GGM,Chere,Shama,ChereShama@ucmerced.edu,spanish
438,TeriannLoring,9MKOy59e-9GHwpUiH,Teriann,Loring,TeriannLoring@ucmerced.edu,cognitive science
439,RutheDaniele,cLut0leA9gkE w!t03uZn@6org,Ruthe,Daniele,RutheDaniele@ucmerced.edu,critical race and ethnic studies
440,DaphneRugen,YoANM!4s,Daphne,Rugen,DaphneRugen@ucmerced.edu,global arts studies program
441,MaraStover,7ui+N)gqkgs0y Vd@Uz,Mara,Stover,MaraStover@ucmerced.edu,english
442,MelinaWilkinson,-8Cx=We- SGc-6q,Melina,Wilkinson,MelinaWilkinson@ucmerced.edu,management and business economics
443,BabitaGherardo,"3#wBv^b0kKkC9K^u9 O4 ",Babita,Gherardo,BabitaGherardo@ucmerced.edu,history
444,DonettaCodding,^Cr0guwY@p9(3W5nd,Donetta,Codding,DonettaCodding@ucmerced.edu,environmental engineering
445,AmiiCandy,UET+$20EU(A)-czgEZy5faEg93,Amii,Candy,AmiiCandy@ucmerced.edu,critical race and ethnic studies
446,MireielleSi,j+ZGOwC(,Mireielle,Si,MireielleSi@ucmerced.edu,mechanical engineering
447,FredDowski,!yJnxP@(5Qs1-iGJK,Fred,Dowski,FredDowski@ucmerced.edu,materials sciences and engineering
448,BrooksMacIntosh,Zxuz(_&*-k1,Brooks,MacIntosh,BrooksMacIntosh@ucmerced.edu,bioengineering
449,HeidaRheingold,(Bgf@of MmN,Heida,Rheingold,HeidaRheingold@ucmerced.edu,history
450,JaneczkaWandie,K8G#ZDeiwJMm7,Janeczka,Wandie,JaneczkaWandie@ucmerced.edu,mechanical engineering
451,OonaCottle,v%0rx@*^VOL-WQ)@G% Ba8T7izB^qs,Oona,Cottle,OonaCottle@ucmerced.edu,anthropology
452,CassondraUird,O%kd-gpG*-rJ4 xTOh,Cassondra,Uird,CassondraUird@ucmerced.edu,cognitive science
453,JulietaPattin,IFp%R Emh9*GjYkH6WN4,Julieta,Pattin,JulietaPattin@ucmerced.edu,political science
454,AarenDelacourt,Q+*vKzwGO,Aaren,Delacourt,AarenDelacourt@ucmerced.edu,philosophy
455,CarmelaLaRue,$gd#ud$@9,Carmela,LaRue,CarmelaLaRue@ucmerced.edu,cognitive science
456,AnicaFillbert,=61P40U^,Anica,Fillbert,AnicaFillbert@ucmerced.edu,english
457,RafLarochelle,)G jV^&chS -X8P_by4KE1 srlRhZz,Raf,Larochelle,RafLarochelle@ucmerced.edu,computer science and engineering
458,RickyIrmine,=)r$tUL2(z%D$TTe%,Ricky,Irmine,RickyIrmine@ucmerced.edu,global arts studies program
459,CorlyCherianne,q RBre(YWs8iDiwsxKmoOT!x5uf,Corly,Cherianne,CorlyCherianne@ucmerced.edu,anthropology
460,NyssaCraggie,Jk#FwFr$y,Nyssa,Craggie,NyssaCraggie@ucmerced.edu,management and business economics
461,DeloriaDash,iUBj fDJeJ*9v1,Deloria,Dash,DeloriaDash@ucmerced.edu,environmental engineering
462,DulcineaSchalles,dwy_U-md-prr3,Dulcinea,Schalles,DulcineaSchalles@ucmerced.edu,chemical sciences
463,YettyTerrence,m TxjL3@,Yetty,Terrence,YettyTerrence@ucmerced.edu,political science
464,KaiaBandeen,ZB *R0b8_Y ZM,Kaia,Bandeen,KaiaBandeen@ucmerced.edu,economics
465,AbbieBaudin,@6ucu)e j9)   Y=cXOV4suRPr,Abbie,Baudin,AbbieBaudin@ucmerced.edu,global arts studies program
466,CherritaVastah,oaPnY5K(td#t1,Cherrita,Vastah,CherritaVastah@ucmerced.edu,civil engineering
467,RosalineDash,0&8U+rzsB-DZ@9Pt_XA3,Rosaline,Dash,RosalineDash@ucmerced.edu,mechanical engineering
468,JoellyIlka,bWGH_=FtZSeGJ=#,Joelly,Ilka,JoellyIlka@ucmerced.edu,anthropology
469,TaniKenney,SxXk6ttkVY=!z7+v@YnsolLha,Tani,Kenney,TaniKenney@ucmerced.edu,english
470,JoellyRobertson,dVUPlG_ixq(-eg,Joelly,Robertson,JoellyRobertson@ucmerced.edu,chemical sciences
471,RozMaples,N(A! bGieKMOi,Roz,Maples,RozMaples@ucmerced.edu,computer science and engineering
472,SianaDearborn,nUR1!x(wi!zUW*,Siana,Dearborn,SianaDearborn@ucmerced.edu,anthropology
473,YvonneRies,xy1VL1FULPPvfF1(dUuTZJwMoU,Yvonne,Ries,YvonneRies@ucmerced.edu,spanish
474,AnnecorinneStuart,3gCT)e=lN_Z9Q,Annecorinne,Stuart,AnnecorinneStuart@ucmerced.edu,economics
475,GustyLytton,%*V#D0XeTEdzQr8d,Gusty,Lytton,GustyLytton@ucmerced.edu,public health
476,NettyFranza,-hI3z2%W^Z)4gYdd@oQ,Netty,Franza,NettyFranza@ucmerced.edu,materials sciences and engineering
477,NelleConcha,EC**ofDJVzmP3C&Qxj9S(^DfP_i5,Nelle,Concha,NelleConcha@ucmerced.edu,sociology
478,OreliaAllare,28y9hh)$SboW0OSv% !VSI1L#tHAJ,Orelia,Allare,OreliaAllare@ucmerced.edu,economics
479,KarenaEdmund,@X#lji*kN+e(I#_Ct1lV%,Karena,Edmund,KarenaEdmund@ucmerced.edu,biological sciences
480,FrederickaCouture,KQ7$J&t mBNoj7m1#,Fredericka,Couture,FrederickaCouture@ucmerced.edu,english
481,DarlleenAstra,61 m9)--5,Darlleen,Astra,DarlleenAstra@ucmerced.edu,environmental systems science
482,BibbyArdra,# gGN#GF_8,Bibby,Ardra,BibbyArdra@ucmerced.edu,environmental engineering
483,TarraCorilla,0-p8nwaLAHygR_nL6&3*jOh,Tarra,Corilla,TarraCorilla@ucmerced.edu,cognitive science
484,LinetArdeha,"5(GrTn=yVF5R5FwLU+j1R ",Linet,Ardeha,LinetArdeha@ucmerced.edu,chemical sciences
485,AurelieGreyson,HxDeC*RfqK,Aurelie,Greyson,AurelieGreyson@ucmerced.edu,environmental systems science
486,HermioneKonyn,6sYI=FabWU7oXtbONuxihyHGq=9+,Hermione,Konyn,HermioneKonyn@ucmerced.edu,history
487,LibbieKlemperer,YQfR*7FLwbEa(3A&DQZ,Libbie,Klemperer,LibbieKlemperer@ucmerced.edu,computer science and engineering
488,ConstanceCavan,scXVXg2riFGE,Constance,Cavan,ConstanceCavan@ucmerced.edu,materials sciences and engineering
489,CharmaineStuart," -Jq 1w&e)T2z",Charmaine,Stuart,CharmaineStuart@ucmerced.edu,environmental systems science
490,MelodieMarsden,-vao !w)_l JyUOQquo,Melodie,Marsden,MelodieMarsden@ucmerced.edu,cognitive science
491,FawneShanley,KzhLWf yGl(xWXifJHh6^8y$kS1,Fawne,Shanley,FawneShanley@ucmerced.edu,anthropology
492,MadySchonfeld,VSLGV+LmHK^8 oKVs,Mady,Schonfeld,MadySchonfeld@ucmerced.edu,sociology
493,RickySigfrid,jxW$+W=oYWR9mayOqfV,Ricky,Sigfrid,RickySigfrid@ucmerced.edu,mechanical engineering
494,LianaAlbertine,4k(8On6w2l^ZRn,Liana,Albertine,LianaAlbertine@ucmerced.edu,chemical sciences
495,ChristianCharity,zQ(!@JnoZL3B,Christian,Charity,ChristianCharity@ucmerced.edu,public health
496,FloCodding,WjglXUmU&+aJt,Flo,Codding,FloCodding@ucmerced.edu,biological sciences
497,PhylisArdeha,xC5hagbX)=Bl*2P7Z Xh*@p7bHnI-8,Phylis,Ardeha,PhylisArdeha@ucmerced.edu,political science
498,DodeCloris,0T% g@tg hqjuaj=mv=g6Gd$Psb2,Dode,Cloris,DodeCloris@ucmerced.edu,english
499,KatleenYusuk,O_xe^rNXfy7,Katleen,Yusuk,KatleenYusuk@ucmerced.edu,management and business economics
500,JohnaJena,pM $ooj^An^,Johna,Jena,JohnaJena@ucmerced.edu,anthropology
501,OonaFontana,hPQ^qh4yrjQ%7L5bQw,Oona,Fontana,OonaFontana@ucmerced.edu,management and business economics
502,AngeliqueStilwell,=$86U!vzO2ww@HKYf5NJXhDMfB*p+D,Angelique,Stilwell,AngeliqueStilwell@ucmerced.edu,management and business economics
503,LaylaCarey,71rnjHy3z+avGDn,Layla,Carey,LaylaCarey@ucmerced.edu,biological sciences
504,MerielMeans,@goz 71F0JVF^9_+xK)HCIng621m,Meriel,Means,MerielMeans@ucmerced.edu,mechanical engineering
505,CandySuk,25H*Q9JJI#SZQ=cJX=I,Candy,Suk,CandySuk@ucmerced.edu,english
506,MillieOlnee," ZV lDB51",Millie,Olnee,MillieOlnee@ucmerced.edu,management and business economics
507,AlexineTeddman,4#fbg qGL_-(sjEyX$mjLtWQC$s02,Alexine,Teddman,AlexineTeddman@ucmerced.edu,public health
508,TaniEmerson,Ko^S 63i2hCkX,Tani,Emerson,TaniEmerson@ucmerced.edu,spanish
509,NaneteChesna,WY =VTAZ=$rqLXUm9#,Nanete,Chesna,NaneteChesna@ucmerced.edu,biological sciences
510,OttilieNeils,cc= ilIcMA^(L24T)TBux22@0Fn 8,Ottilie,Neils,OttilieNeils@ucmerced.edu,computer science and engineering
511,ChristianDyche,eOeDrlZ9(+mclG)J- z,Christian,Dyche,ChristianDyche@ucmerced.edu,political science
512,TybieClywd,ehf%PevLINDWEe@-PbynPo!kHZ1%V6,Tybie,Clywd,TybieClywd@ucmerced.edu,history
